word,weight
সাহাবুদ্দিনকে,0.0017910053897956793
মিয়ানমারকে,0.0017892491471768026
মোহাম্মদ,0.0017892491471768023
বাদ,0.0017875151699494358
গ্রেপ্তার,0.0017875151699494355
দেয়া,0.001785803091810532
আসামি,0.001785803091810532
আনোয়ার,0.0017841125566002507
পলাতক,0.0017841125566002505
বার্ষিক,0.0017836464799509504
তালগাছে,0.00178364647995095
ইব্রাহিম,0.0017824432179321284
মামলায়,0.0017824432179321282
অপহরণ,0.0017807947388400066
৪,0.0017807947388400064
শিক্ষার্থীকে,0.0017791667914408146
হত্যা,0.0017791667914408146
রাজধানীতে,0.0017775590566123558
পিটিয়ে,0.0017775590566123556
২,0.0017759712236853013
মারাত্মক,0.0017759712236853009
ব্যাংকের,0.0017744735966651725
কীটনাশক,0.0017744735966651725
গ্রেফতার,0.0017744029901486484
জখম,0.001774402990148648
ছাত্রলীগের,0.001772854061367938
গাঁজাসহ,0.001772854061367938
কেজি,0.0017713241503155733
ঘটেছিল,0.0017713241503155728
৫,0.0017698129773126212
রাতে,0.0017698129773126208
বিএনপি,0.0017683202697815134
এলাকা,0.0017683202697815134
থানা,0.0017668457620090977
জামায়াত,0.0017668457620090975
দেশে,0.001765389194919525
বিমানবন্দর,0.0017653891949195248
পূবালী,0.0017652954291724518
প্রয়োগ,0.0017652954291724518
আবারো,0.0017639503158564842
১৪,0.0017639503158564838
আগুন,0.0017625288783743275
ভর্তি,0.0017625288783743272
সন্ত্রাস,0.0017611246420376528
হাসপাতালে,0.0017611246420376524
ওবায়দুল,0.0017597373722289349
ডেঙ্গু,0.0017597373722289347
কাদের,0.0017583668399638235
ঘণ্টায়,0.0017583668399638228
পশ্চিমাদের,0.0017570128217137384
২৪,0.0017570128217137381
অভিনেত্রী,0.001756111912254082
পরবর্তী,0.001756111912254082
আনুকূল্য,0.0017556750992354273
উদ্ধার,0.0017556750992354271
ছাড়া,0.001754353459407149
ধ্বংসস্তূপ,0.0017543534594071483
অচল,0.0017530476940711857
ঘণ্টা,0.001753047694071185
শি,0.0017517575998823884
দেড়শ,0.0017517575998823877
জিনপিং,0.0017504829781624794
ভূমিকম্পের,0.0017504829781624786
রিপোর্ট,0.0017492236347598543
রংপুর,0.0017492236347598537
পগবার,0.001747979379914636
কোয়ালিফায়ারে,0.0017479793799146353
কটাক্ষ,0.001746922979999586
শুনানি,0.001746922979999586
ফেরা,0.0017467500281287435
বিদায়,0.0017467500281287429
এখনো,0.0017455353980407587
বরিশালকে,0.0017455353980407582
নিশ্চিত,0.001744335312305377
ফরচুন,0.0017443353123053763
ফিট,0.001743149597477243
কেন্দ্র,0.0017431495974772424
থাকতে,0.001741978083898984
আবেদন,0.0017419780838989832
খাবেন,0.001740820605593256
ভিসা,0.001740820605593255
সহপাঠীদের,0.0017396770001586366
লেবানন,0.0017396770001586357
ক্লাস,0.001738547108669201
ঢাকায়,0.0017385471086692002
খানকে,0.001737728565791995
আদেশ,0.0017377285657919949
বর্জন,0.0017374307755776228
case,0.001737430775577622
প্লে,0.0017363278486216575
murder,0.0017363278486216566
অফ,0.001735238178733866
Chowdhury,0.0017352381787338654
পর্বে,0.0017341616199544473
Sohel,0.0017341616199544468
দাম,0.00173309802934705
actor,0.001733098029347049
বাড়লো,0.0017320472669174435
in,0.0017320472669174428
টিকিটের,0.00173100919553494
testify,0.0017310091955349395
কাঁঠালবাড়ীতে,0.0017299836808564448
PWs,0.001729983680856444
আন্তর্জাতিক,0.001728970591253042
Two,0.0017289705912530413
২৩,0.0017285286022927218
আমির,0.0017285286022927216
মানের,0.0017279697977390122
নিহত,0.0017279697977390111
বঙ্গবন্ধু,0.001726981173903184
সেনা,0.001726981173903183
কনভেনশন,0.0017260045958425326
১০,0.001726004595842531
সেন্টার,0.0017250399420979385
হামলায়,0.0017250399420979372
নির্মাণ,0.0017240870935920213
সন্ত্রাসী,0.00172408709359202
তুরস্কের,0.0017231459335689712
নাইজারে,0.0017231459335689695
ভূমিকম্প,0.0017222163475363018
বিএনপি,0.0017222163475363
ধ্বংসস্তূপের,0.0017212982232084546
দিচ্ছে,0.001721298223208453
নিচ,0.0017203914504521833
কর্মসূচি,0.0017203914504521818
যেভাবে,0.0017194959212336516
পাল্টা,0.00171949592123365
ফেব্রুয়ারি,0.0017193230214260012
সিদ্দিকী,0.001719323021426001
